seq,alpha,k,entropy
sequence5.txt,0.1,3,1.9619479338391916
sequence5.txt,1.0,3,2.675591372349676
sequence5.txt,0.001,4,1.8697146352144447
sequence5.txt,0.01,4,1.815361820867167
sequence5.txt,0.1,4,2.1189002562322115
sequence5.txt,1.0,4,3.011292625947103
sequence5.txt,0.001,5,1.9925705251853467
sequence5.txt,0.01,5,1.9666854193166818
sequence5.txt,0.1,5,2.356625919356309
sequence5.txt,1.0,5,3.3309103573470007
sequence5.txt,0.001,6,2.1386368216217506
sequence5.txt,0.01,6,2.141092384546038
sequence5.txt,0.1,6,2.59180072090226
sequence5.txt,1.0,6,3.610402593346361
sequence5.txt,0.001,7,2.3130893070514147
sequence5.txt,0.01,7,2.3319863864334556
sequence5.txt,0.1,7,2.821487068870907
sequence5.txt,1.0,7,3.864200168697943
sequence5.txt,0.001,8,2.500696860238448
sequence5.txt,0.01,8,2.533212003823043
sequence5.txt,0.1,8,3.050867748802058
sequence5.txt,1.0,8,4.103114151692187
sequence5.txt,0.001,9,2.6839609163720755
sequence5.txt,0.01,9,2.7287329586907783
sequence5.txt,0.1,9,3.2660694739620344
sequence5.txt,1.0,9,4.3162528843921475
sequence5.txt,0.001,10,2.868611913271316
sequence5.txt,0.01,10,2.9234691801200605
sequence5.txt,0.1,10,3.474430459677728
sequence5.txt,1.0,10,4.516755404163841
sequence5.txt,0.001,11,3.051365561445282
sequence5.txt,0.01,11,3.112675381110202
sequence5.txt,0.1,11,3.672187854908833
sequence5.txt,1.0,11,4.702798343030781
sequence5.txt,0.001,12,3.227890846622974
sequence5.txt,0.01,12,3.2967925672325764
sequence5.txt,0.1,12,3.862155757642632
sequence5.txt,1.0,12,4.875034673438452
sequence5.txt,0.001,13,3.393438914728375
sequence5.txt,0.01,13,3.4691463172654173
sequence5.txt,0.1,13,4.03610832600922
sequence5.txt,1.0,13,5.026057749840142
sequence5.txt,0.001,14,3.553314637799215
sequence5.txt,0.01,14,3.6348148372205276
sequence5.txt,0.1,14,4.2005309606168
sequence5.txt,1.0,14,5.16538141363124
sequence5.txt,0.001,15,3.70362431021458
sequence5.txt,0.01,15,3.7894201005967374
sequence5.txt,0.1,15,4.3515969963409935
sequence5.txt,1.0,15,5.289274577989605
sequence5.txt,0.001,16,3.843104629301136
sequence5.txt,0.01,16,3.935080942227766
sequence5.txt,0.1,16,4.493426986952573
sequence5.txt,1.0,16,5.402446785631345
sequence5.txt,0.001,17,3.9763055643712595
sequence5.txt,0.01,17,4.07171157528205
sequence5.txt,0.1,17,4.622421808188685
sequence5.txt,1.0,17,5.500880447272233
sequence5.txt,0.001,18,4.098546436139439
sequence5.txt,0.01,18,4.197848204725765
sequence5.txt,0.1,18,4.7413638707597485
sequence5.txt,1.0,18,5.590242201147575
sequence5.txt,0.001,19,4.214620438862698
sequence5.txt,0.01,19,4.316620839162863
sequence5.txt,0.1,19,4.851660476900884
sequence5.txt,1.0,19,5.670535169271771
sequence5.txt,0.001,20,4.323667208111691
sequence5.txt,0.01,20,4.4279867556265495
sequence5.txt,0.1,20,4.953725675470641
sequence5.txt,1.0,20,5.742793473676586
sequence5.txt,0.001,21,4.425363575530032
sequence5.txt,0.01,21,4.531408888244773
sequence5.txt,0.1,21,5.046927453844894
sequence5.txt,1.0,21,5.807194167231835
sequence5.txt,0.001,22,4.517654750116977
sequence5.txt,0.01,22,4.6250633606346465
sequence5.txt,0.1,22,5.130462320307624
sequence5.txt,1.0,22,5.863656118457862
sequence5.txt,0.001,23,4.603364232091703
sequence5.txt,0.01,23,4.7118344725850525
sequence5.txt,0.1,23,5.206777826541793
sequence5.txt,1.0,23,5.913619104341164
sequence5.txt,0.001,24,4.684758171721557
sequence5.txt,0.01,24,4.793673312905763
sequence5.txt,0.1,24,5.277921519892029
sequence5.txt,1.0,24,5.959307982818514
sequence5.txt,0.001,25,4.761391807913155
sequence5.txt,0.01,25,4.869547109463298
